,MP,ORtg,%Ps,Pts,OR,DR,A,TO,Blk,Stl,PF,2Pt %,3Pt %,FT %,2Pt %Att,3Pt %Att,FT %Att,Pnts-Prev,Marg
Coastal Carolina 2015,18.545454545454547,72.44919786096257,14.096256684491978,7.048128342245989,0.9598930481283421,2.216577540106952,1.125668449197861,1.2219251336898393,0.2941176470588236,0.6283422459893047,1.748663101604278,0.36686787291733813,0.1710412953060012,0.3595407149375627,0.09708116152302121,0.08847532758811581,0.10127595584211045,-0.5989304812834223,5.211229946524063
Davidson 2015,16.34725935828877,75.56651069518718,12.494986631016042,6.158923796791444,0.6901737967914439,1.8997326203208558,1.2891042780748663,0.7837566844919786,0.2159090909090909,0.4390040106951872,1.5501336898395721,0.3501546660595792,0.1916712423605806,0.26178267708598596,0.07551500925264742,0.08530634957045441,0.0804454156662615,-0.2576871657754011,10.649398395721924
Dayton 2015,12.728378378378379,58.825,10.526501501501501,4.114714714714714,0.5562312312312312,1.25518018018018,0.6785285285285286,0.7163663663663664,0.17379879879879884,0.35285285285285284,1.2726726726726727,0.29767158392158394,0.14314031564031562,0.24276830401830404,0.054330489781410786,0.0649899911549528,0.056518933492245224,-0.37942942942942937,5.6029279279279285
Duke 2015,17.79460317460317,71.55513431013432,12.670500610500609,6.906892551892552,1.0175946275946275,2.19967032967033,1.5893589743589742,1.008089133089133,0.3288949938949938,0.6461477411477411,1.4564041514041517,0.33774147271125293,0.16430513159679824,0.3436879779883982,0.09922188349361276,0.07528245392073721,0.0920872484241269,-0.0660927960927961,11.867496947496946
Eastern Washington 2015,16.29285714285714,62.63333333333335,10.816666666666668,6.538095238095238,0.6999999999999998,1.8500000000000003,1.0666666666666667,0.8642857142857143,0.39285714285714285,0.5142857142857142,1.4261904761904762,0.3011004033969536,0.17605561766276048,0.2923798357726929,0.08095238095238096,0.08095238095238097,0.08095238095238096,0.0857142857142857,6.914285714285712
Georgetown 2015,15.59366391184573,66.77565426997245,13.170110192837463,4.923209366391184,0.6795798898071624,1.588154269972452,0.8835227272727273,0.9610020661157024,0.334366391184573,0.5366735537190082,1.4897555096418733,0.3255789980221798,0.14554862750885478,0.3108130321908731,0.07760441637668848,0.07594961652287066,0.07736110072117164,-0.17992424242424238,6.738980716253443
Georgia 2015,16.53282828282828,63.621212121212125,11.772727272727272,5.5227272727272725,0.76010101010101,2.0606060606060606,1.0176767676767677,1.0101010101010102,0.3762626262626263,0.45202020202020204,1.482323232323232,0.28786248123369335,0.14034491742825075,0.346799259778315,0.08080808080808079,0.08080808080808081,0.0808080808080808,-0.3636363636363636,4.03030303030303
Georgia St. 2015,17.62892857142857,74.05178571428571,12.626071428571425,6.3914285714285715,0.7382142857142857,1.9232142857142858,1.125,0.9296428571428571,0.3728571428571429,0.7842857142857141,1.6717857142857142,0.37056619535926255,0.12426508808651666,0.3396935243794487,0.08719245839565509,0.09055115444451904,0.08862737060328497,0.4549999999999999,9.605
Gonzaga 2015,14.684179197994988,64.93471526037315,11.767992898913954,5.938906293511557,0.6442808409913673,1.9299707602339182,1.0275445558340295,0.8218462823725982,0.2765803397382345,0.43691868560289615,1.1929023948760793,0.3212729559612391,0.1369964096749811,0.2869018787147442,0.0801099908816946,0.07603233090235695,0.08138450836523989,-0.21669451406293513,15.243149540517962
Hampton 2015,14.349450549450548,52.09010989010988,11.246153846153845,4.826373626373627,0.7516483516483518,1.7032967032967032,0.745054945054945,0.9736263736263737,0.29670329670329676,0.4703296703296703,1.5406593406593407,0.26731341989906954,0.0977891156462585,0.2766379957039298,0.07252747252747252,0.07252747252747253,0.07252747252747255,-0.41318681318681316,-0.8
