,MP,ORtg,%Ps,Pts,OR,DR,A,TO,Blk,Stl,PF,2Pt %,3Pt %,FT %,2Pt %Att,3Pt %Att,FT %Att,Pnts-Prev,Marg
Albany 2014,11.056792717086836,47.35350140056022,9.036764705882353,3.1233193277310924,0.5810224089635854,1.4561624649859946,0.5722689075630253,0.7550420168067227,0.1441176470588235,0.3186974789915966,1.0971288515406163,0.23012702050517175,0.08799719887955182,0.24425903694811257,0.05518919650975556,0.037954671660111655,0.053250538211349514,-0.5844537815126051,3.0294117647058822
American 2014,15.034965034965037,52.375291375291376,9.61072261072261,4.792540792540792,0.4662004662004661,1.5944055944055944,1.1282051282051282,0.9930069930069931,0.25874125874125875,0.45454545454545453,1.2843822843822845,0.2723927587563951,0.13796271068998342,0.24374144374144371,0.07459207459207459,0.0745920745920746,0.07459207459207459,-0.5594405594405594,5.1515151515151505
Arizona 2014,16.665686944634313,70.11825017088175,12.369924812030076,5.438414217361586,0.8706083390293916,2.126247436773752,1.2826384142173615,0.9029391660970607,0.342241968557758,0.5933014354066987,1.4131237183868763,0.30950826533533304,0.14391926786663628,0.2982267726577365,0.08405476333148211,0.06857112652849191,0.08090237625187485,0.06520847573479155,11.68004101161996
Arizona St. 2014,15.369852369852369,55.67229992229992,10.287878787878789,5.593045843045843,0.5477855477855478,1.9494949494949494,1.0940170940170941,0.8597513597513597,0.4240481740481741,0.39024864024864026,1.4123931623931623,0.2614776217048944,0.16454656454656455,0.2770891986801078,0.07467296944886424,0.07568464398915102,0.07491500045847872,-0.09090909090909097,6.142968142968143
Baylor 2014,20.646198830409354,93.51754385964912,16.43859649122807,7.669590643274854,1.2777777777777777,2.321637426900585,1.526315789473684,1.1871345029239766,0.5701754385964911,0.5350877192982456,1.7543859649122808,0.35471540318031547,0.20516683608788874,0.4109726936481323,0.10233918128654969,0.10233918128654969,0.10233918128654973,-0.16374269005847963,6.289473684210527
BYU 2014,19.708571428571428,81.39428571428572,13.98857142857143,8.168571428571429,1.0885714285714285,2.5342857142857147,1.5114285714285716,1.0971428571428572,0.29428571428571426,0.702857142857143,1.8828571428571426,0.38159500744230945,0.1552872048586334,0.3826573743716601,0.09714285714285716,0.09714285714285714,0.09714285714285716,-0.2,6.971428571428573
Cal Poly 2014,14.443438914027151,65.09276018099548,12.22171945701358,4.576923076923076,0.676470588235294,1.4321266968325792,0.8461538461538461,0.6266968325791856,0.19909502262443438,0.423076923076923,1.3144796380090495,0.2512189921692184,0.13717442688030923,0.25559122250298716,0.07239819004524886,0.07239819004524886,0.07239819004524886,-0.009049773755656104,-0.2058823529411765
Cincinnati 2014,13.965240641711231,62.87433155080214,12.29946524064171,4.270053475935828,0.7967914438502673,1.7219251336898396,0.9197860962566845,0.9171122994652404,0.320855614973262,0.5133689839572192,1.2593582887700534,0.30990883875831976,0.11444356297297471,0.2871825589740028,0.06635951677833868,0.06689041696668918,0.06528308165273769,-0.16577540106951869,8.534759358288769
Coastal Carolina 2014,16.44362745098039,62.19117647058825,12.186274509803923,5.882352941176471,0.889705882352941,2.0269607843137254,0.8602941176470589,1.1323529411764703,0.23039215686274506,0.5196078431372548,1.6004901960784312,0.32553006973962856,0.15241693899782136,0.31222433218369755,0.08088235294117647,0.08088235294117647,0.08088235294117647,-0.7647058823529411,4.205882352941176
Colorado 2014,15.922005772005773,63.994300144300134,12.527849927849928,5.3988455988455994,0.7932900432900434,1.7210678210678212,0.7918470418470419,1.0502886002886,0.2600288600288601,0.4289321789321789,1.4418470418470417,0.3396076862851755,0.13948512906846242,0.29905390224654294,0.07811648172480685,0.08493638127526675,0.07869605028580394,-0.7226551226551226,3.5354978354978357
