,MP,ORtg,%Ps,Pts,OR,DR,A,TO,Blk,Stl,PF,2Pt %,3Pt %,FT %,2Pt %Att,3Pt %Att,FT %Att,Pnts-Prev,Marg
Alabama,17.78917748917749,86.04747474747474,15.664646464646468,6.1331890331890335,0.9967532467532466,2.132323232323232,1.2758297258297258,1.1659451659451658,0.5145021645021646,0.6116161616161616,1.5543290043290046,0.3712925788737477,0.15696749238415905,0.30652480796420195,0.08774787687188462,0.0809163059163059,0.08638685819056191,-0.0796536796536796,9.888888888888888
Arizona,16.190988201824116,69.44891640866874,13.43327515928135,6.405518964342493,0.5766104450314976,1.842105263157895,1.0730423036924586,1.12741910419929,0.2481203007518797,0.4707197245896936,1.520177630084751,0.3633313638399884,0.17661694724941077,0.3613845182454205,0.06939305567925279,0.12181506271676591,0.08511893020241677,-0.8171581577154331,10.814056205697073
Arizona St.,20.797166469893742,93.36765053128688,15.973632428177883,7.7728453364817,0.9703266430539159,2.18323494687131,1.6632034632034634,1.2900432900432899,0.4003935458480912,0.8228256591892955,1.7071231798504527,0.4258337405740003,0.21173523053098026,0.39930574716289013,0.10255189154308254,0.11594249363308194,0.10536686954730633,-0.13364817001180626,9.653443526170799
Arkansas,12.377516233766233,57.72547799422799,11.581908369408369,4.801641414141414,0.5701930014430014,1.1666756854256854,0.8518488455988455,0.8677669552669552,0.11140873015873017,0.49090909090909085,1.4071248196248196,0.3073732806545307,0.12926361832611832,0.2954576384263884,0.05867740531333404,0.07824305664427368,0.05996784304939277,-0.5308982683982684,5.844733044733045
Auburn,17.034313725490197,79.73508986928105,12.475694444444445,5.589460784313726,0.8247549019607843,1.8376225490196079,0.883578431372549,0.7154820261437909,0.11233660130718953,0.3472222222222222,1.3265931372549022,0.3553516115556557,0.16282387955182076,0.3156563740816192,0.07813614972245832,0.10441489629441758,0.07170066185920375,-0.5118464052287582,8.684027777777779
Bucknell,17.92,72.44857142857143,13.445714285714285,6.854285714285714,0.6685714285714285,2.154285714285714,1.3742857142857143,1.1542857142857144,0.36,0.6342857142857142,1.608571428571428,0.35659377130805703,0.22815460729746442,0.3147901463615749,0.08957050991851681,0.08811069162131505,0.09226558359492641,-0.31999999999999995,8.542857142857143
Buffalo,21.595310245310248,85.9310863739435,16.60103586889301,8.218346732632446,1.0410585446299734,2.5891207998350856,1.3974129045557617,1.3883323026180172,0.4288239538239537,0.5810966810966811,1.790069057926201,0.3766222325980548,0.1521281365568626,0.39695513607078226,0.11739240995526304,0.11755381471172413,0.11518997321381107,-0.756823335394764,3.463079777365492
Butler,9.51171377641966,46.714540361599184,8.703717850776673,3.1920040743570155,0.392156862745098,1.1363636363636362,0.3870639164756811,0.5303030303030302,0.20180799592564297,0.35319582378405906,1.1549528902470079,0.25373436087721807,0.10122003346793264,0.15722652697442616,0.047680093788742925,0.04617141828944967,0.03313800154715956,0.049401578813343526,7.6338171632289304
Cal St. Fullerton,20.430111065405182,79.27121310062486,15.641979589038414,6.986576168929108,1.2371217018275844,2.82004662004662,1.053152729623318,1.30037805331923,0.30834263775440246,0.6846486846486844,1.6765744059861707,0.37535156986382234,0.16538913156560214,0.3715423054589771,0.1050764934035448,0.09398399757243882,0.1088895189444658,-0.6147734618322854,5.3373528432351955
Cincinnati,15.72234954587896,69.76933197521433,11.891605126899247,4.888294711824123,0.9333885069179187,2.0361599185128596,0.9608904167727698,0.7458832017655547,0.555025040319158,0.5540064510652746,1.3559545030133264,0.37949734607647784,0.10034614856043429,0.29216078687367203,0.07685104836817579,0.0532222034837471,0.07109513248455375,0.7262965792377558,9.513305322128852
