,MP,ORtg,%Ps,Pts,OR,DR,A,TO,Blk,Stl,PF,2Pt %,3Pt %,FT %,2Pt %Att,3Pt %Att,FT %Att,Pnts-Prev,Marg
Arizona 2017,13.018575851393189,60.76965944272446,10.838699690402475,5.252941176470587,0.3139318885448917,1.6024767801857585,1.2105263157894737,0.8408668730650154,0.2826625386996904,0.3461300309597523,1.2253869969040248,0.3422118576298143,0.15089414713253724,0.3119229446164431,0.06279311346638407,0.0632153039430329,0.07178186509241782,-0.4241486068111455,13.490712074303406
Arkansas 2017,9.878354978354979,54.55063732563733,8.882359307359307,2.610521885521885,0.5935906685906687,0.898160173160173,0.6080206830206829,0.6523929773929774,0.19484126984126982,0.4369528619528619,1.3113516113516115,0.3067935305435305,0.07014690556357224,0.20503046336379674,0.036829704851944554,0.0356114166862169,0.03697407336394274,-0.04119769119769126,6.626310726310726
Baylor 2017,11.891124871001033,65.28973168214655,10.48013415892673,3.5239938080495357,0.6367389060887513,1.0399896800825594,0.8402992776057792,0.7518059855521155,0.2788957688338493,0.3782249742002064,1.3052115583075337,0.28821361208164614,0.13261523907808737,0.21201164676396875,0.05506162689121772,0.05016153325087613,0.047056448874055384,-0.18937048503611967,8.028637770897832
Bucknell 2017,22.682370580808083,94.46953914141416,17.18158143939394,9.052477904040403,0.6292613636363636,2.3671875,1.9433396464646464,1.4952651515151516,0.18142361111111113,1.0687342171717171,1.9590435606060606,0.4150549873091234,0.2897580888703048,0.35992792937631957,0.11171515367258482,0.14131207065981485,0.11699582035593069,-0.4902146464646464,11.18213383838384
Butler 2017,11.34910691549347,53.01510058568882,10.858070500927642,4.272821856015133,0.6011313616355632,1.1401615191531158,0.7576703408636182,0.7015788133435191,0.2157008257848594,0.33184910327767464,1.2366874022336207,0.26761439154214445,0.10162110298664918,0.25710466004583654,0.06187235585153013,0.053326335288230824,0.06494426622059259,-0.30805776856197026,7.847786387282186
Cincinnati 2017,15.70017400899754,70.60733384262795,12.138103726339022,4.602813852813853,0.7625201595789832,1.9215474068415246,1.0997793056616587,0.7998047703930057,0.4145021645021645,0.5416348357524828,1.3076351752822342,0.3356263717608256,0.14044051964220033,0.30934599428997195,0.0744042092918806,0.06212093678539269,0.06171849178165845,0.3126644597232832,7.825630252100841
Creighton 2017,20.07505050505051,76.3310533910534,15.584035594035594,7.663703703703704,0.9193217893217895,2.2693073593073594,1.487960557960558,1.3215824915824919,0.3796103896103896,0.5174987974987976,1.5695719095719096,0.3580985815916001,0.13180226335312914,0.34305040675747744,0.11448439869777512,0.11524699130149307,0.10354409621249186,-0.8489466089466088,4.597546897546897
Dayton 2017,10.386234719568053,47.288735705402374,7.900188066854732,2.627263627263627,0.306359389692723,0.9663678830345499,0.6262474595807929,0.5900066733400067,0.19630994630994633,0.333621500288167,1.1310552977219643,0.2658451380673603,0.12283250061027837,0.17550252272474495,0.036678813681569444,0.05535709643388204,0.03593328661656175,-0.12015045348378682,5.720409803743136
Duke 2017,13.051782661782662,63.214786324786324,9.554517704517705,4.7161294261294255,0.9356288156288157,1.5601343101343101,0.6002075702075702,0.45909645909645913,0.19548229548229548,0.41250305250305247,1.4645177045177047,0.3246421594278737,0.09044296752630086,0.32226925984068844,0.062049966426741855,0.05303351392035237,0.07032421810554729,0.29777777777777775,10.479462759462757
East Tennessee St. 2017,18.912108176603972,84.5081399226357,14.954668534080298,7.142897158863545,0.9767640389489128,2.360610911031079,1.4125483526744032,1.0993497398959584,0.2956315859677204,0.4284780578898226,1.6201513938908896,0.3557957404064597,0.19551252114602455,0.39534358536584435,0.1034425748556452,0.08570451284682597,0.09934427076922527,-0.7504801920768307,10.582866479925304
Florida 2017,17.40440278675573,78.67460317460316,13.970256051138403,6.075450693097752,0.6266878546290311,1.8638493859082097,1.3055375996552467,0.9206438985850751,0.22231200172376644,0.5317280758457229,1.5233965381024202,0.3342093896839325,0.19147629525780788,0.34302784050683205,0.08482805063161876,0.08920597875033566,0.085289039665147,-0.3332076420311714,10.836969403145874
