,MP,ORtg,%Ps,Pts,OR,DR,A,TO,Blk,Stl,PF,2Pt %,3Pt %,FT %,2Pt %Att,3Pt %Att,FT %Att,Pnts-Prev,Marg
Akron 2013,17.702479338842977,85.45179063360881,15.779614325068875,6.360881542699724,0.9834710743801651,2.0716253443526167,1.3112947658402203,1.1680440771349863,0.5041322314049587,0.6308539944903582,1.537190082644628,0.3571058188826784,0.1712372644190826,0.319195894402506,0.08815426997245177,0.08815426997245178,0.0881542699724518,-0.06611570247933879,10.424242424242424
Albany 2013,19.24285714285714,79.78571428571428,15.52,6.197142857142857,0.7599999999999999,2.0628571428571427,1.0771428571428572,1.2771428571428571,0.19428571428571426,0.52,1.5228571428571427,0.36988280766852194,0.1426902859045716,0.3696950113378685,0.09714285714285713,0.09714285714285716,0.09714285714285713,-1.1257142857142857,4.0
Arizona 2013,19.98412698412698,90.52063492063492,16.149206349206352,7.301587301587302,0.9968253968253968,2.3365079365079366,1.3714285714285717,1.3047619047619046,0.3968253968253968,0.6952380952380951,1.6507936507936511,0.38991782467972946,0.20436885865457294,0.40252330561854377,0.10158730158730157,0.1015873015873016,0.10158730158730157,-0.4253968253968253,8.771428571428572
Belmont 2013,18.833333333333336,85.80303030303031,14.560606060606062,7.293939393939395,0.7545454545454545,1.9939393939393941,1.5151515151515151,1.2212121212121212,0.24848484848484853,0.9454545454545455,1.6515151515151516,0.4176712503183091,0.23727928637019544,0.3179986974305157,0.09696969696969697,0.09696969696969697,0.09696969696969696,-0.05454545454545451,12.757575757575756
Boise St. 2013,20.99652777777778,90.37847222222223,16.1875,7.774305555555555,0.875,2.3402777777777777,1.4166666666666667,1.2326388888888888,0.1701388888888889,0.7048611111111112,1.9722222222222223,0.37848894818870316,0.20893433341350007,0.3553686668270002,0.10763888888888887,0.1076388888888889,0.1076388888888889,-0.7152777777777778,8.03125
Bucknell 2013,18.976470588235294,79.07058823529412,14.579411764705881,6.394117647058824,0.7529411764705882,2.420588235294118,1.2882352941176471,0.8676470588235293,0.3794117647058824,0.3411764705882353,1.3647058823529412,0.36524366519324175,0.1258858543417367,0.352945387945388,0.09705882352941177,0.09705882352941177,0.09705882352941178,-0.29411764705882354,9.5
Butler 2013,18.59166666666667,81.88333333333334,14.905555555555555,6.4444444444444455,0.9333333333333333,2.2055555555555553,1.2277777777777776,1.2055555555555557,0.22222222222222224,0.5305555555555556,1.6472222222222226,0.34546871338538004,0.13495123703457038,0.3383909300575968,0.09444444444444446,0.09444444444444444,0.09444444444444446,-0.9055555555555556,5.166666666666666
California 2013,20.34006734006734,76.5824915824916,14.707070707070708,6.915824915824916,0.9562289562289563,2.494949494949495,1.4646464646464645,1.2525252525252526,0.48821548821548816,0.5824915824915825,1.6094276094276094,0.34513628742684,0.11647256596751546,0.3174268399015874,0.1043771043771044,0.10437710437710437,0.10437710437710439,-0.3636363636363637,2.9696969696969693
Cincinnati 2013,19.082352941176467,80.48235294117646,15.585294117647058,6.3617647058823525,1.1470588235294117,2.2323529411764707,1.1588235294117648,1.1735294117647057,0.5558823529411765,0.6588235294117648,1.6264705882352941,0.37327887126330034,0.1439426260014495,0.3493168024785672,0.09705882352941178,0.09705882352941178,0.09705882352941177,0.08235294117647071,7.647058823529411
Colorado 2013,19.59090909090909,73.33333333333333,14.121212121212121,6.566666666666665,0.9636363636363636,2.3060606060606057,0.9636363636363635,1.2424242424242422,0.30303030303030304,0.6757575757575757,1.5303030303030305,0.3540410767683495,0.18444564694564694,0.3499912545367091,0.09696969696969697,0.09696969696969697,0.09696969696969696,-0.5272727272727271,4.242424242424242
Colorado St. 2013,22.960714285714285,91.57857142857142,16.835714285714285,8.439285714285715,1.4821428571428572,2.882142857142857,1.5107142857142857,1.207142857142857,0.22500000000000003,0.5571428571428572,1.935714285714286,0.41737152232687946,0.1822448979591837,0.4564124863232007,0.11785714285714285,0.11785714285714288,0.11785714285714285,-0.85,9.657142857142857
Creighton 2013,16.75,80.26515151515152,13.676767676767678,6.3813131313131315,0.6338383838383839,2.1136363636363638,1.4419191919191918,1.0126262626262625,0.2196969696969697,0.41414141414141403,1.348484848484848,0.3068904194851165,0.20385301426968094,0.3182505976066582,0.08585858585858587,0.08585858585858586,0.08585858585858586,-0.7575757575757577,11.611111111111112
Davidson 2013,23.036764705882355,104.56250000000001,18.84191176470588,8.588235294117647,0.8897058823529411,2.6102941176470593,1.6580882352941175,1.2022058823529411,0.3345588235294118,0.6580882352941176,1.9485294117647058,0.42774901232946216,0.26575099736864444,0.4865967978100331,0.1213235294117647,0.12132352941176469,0.12132352941176469,-0.4191176470588235,11.205882352941176
Duke 2013,22.865079365079364,92.86507936507938,16.09126984126984,9.162698412698413,0.8650793650793652,2.591269841269841,1.829365079365079,1.2380952380952384,0.39285714285714285,0.7460317460317459,1.9484126984126982,0.362503843158605,0.22115772234819855,0.40048100048100055,0.12698412698412698,0.126984126984127,0.12698412698412698,-0.19841269841269843,11.444444444444445
Florida 2013,21.22972972972973,96.73310810810813,17.047297297297295,7.810810810810811,0.9932432432432433,2.4189189189189193,1.6047297297297296,1.1689189189189189,0.3513513513513513,0.7466216216216217,1.4864864864864864,0.41831454018954023,0.21024104461604465,0.3659500409500409,0.11148648648648647,0.1114864864864865,0.11148648648648646,-0.1418918918918919,16.0
Florida Gulf Coast 2013,20.117117117117118,89.26726726726727,16.903903903903903,7.36036036036036,1.027027027027027,2.3063063063063063,1.4114114114114116,1.4414414414414418,0.37837837837837834,0.9039039039039041,1.7297297297297298,0.4135618302284969,0.1699121199121199,0.3998140998140999,0.10210210210210209,0.10210210210210209,0.1021021021021021,-0.3183183183183183,5.918918918918918
Georgetown 2013,21.29861111111111,77.18402777777777,15.038194444444445,6.840277777777778,0.8229166666666666,2.295138888888889,1.5486111111111112,1.3020833333333333,0.4027777777777778,0.7916666666666666,1.7534722222222223,0.37028444163860835,0.17073963844797177,0.34430771774521773,0.1076388888888889,0.1076388888888889,0.10763888888888887,-0.2152777777777778,8.5625
Gonzaga 2013,17.737142857142857,92.0457142857143,14.631428571428575,6.780000000000001,0.8371428571428572,2.1114285714285717,1.4114285714285715,0.9742857142857142,0.23714285714285716,0.7314285714285714,1.3685714285714288,0.3577668442668443,0.19326870748299319,0.3308861852433281,0.09428571428571428,0.09428571428571428,0.09428571428571428,-0.011428571428571413,17.171428571428574
Harvard 2013,23.262499999999996,83.15,15.841666666666669,7.983333333333333,0.7,2.354166666666667,1.5125000000000002,1.4958333333333333,0.4916666666666667,0.8583333333333333,1.7166666666666663,0.35982480482480483,0.17625736531986533,0.44088677526177533,0.11666666666666664,0.11666666666666667,0.11666666666666667,-0.29166666666666663,4.733333333333333
Illinois 2013,22.958333333333332,94.20138888888886,17.774305555555554,7.989583333333334,1.1631944444444444,2.2916666666666665,1.1805555555555556,1.3055555555555554,0.45833333333333337,0.8020833333333333,2.0625,0.4155156475468975,0.19968722442680775,0.41287603214686547,0.11805555555555555,0.11805555555555554,0.11805555555555554,-0.0902777777777778,3.5833333333333326
