,MP,ORtg,%Ps,Pts,OR,DR,A,TO,Blk,Stl,PF,2Pt %,3Pt %,FT %,2Pt %Att,3Pt %Att,FT %Att,Pnts-Prev,Marg
Arizona 2016,14.81845120823449,69.5034176349966,11.455224960797716,5.676418318523581,0.7706807124763781,2.045486711430984,0.9260463994210123,0.8203490008443569,0.31559245707852523,0.341059868923646,1.32426118772868,0.34928479912949784,0.144317120787709,0.3165367988490418,0.07327464887038869,0.06730153556375612,0.07768024672068169,-0.32739334968437134,12.588002090788466
Arkansas Little Rock 2016,15.707142857142857,72.6547619047619,13.190476190476188,5.540476190476191,0.6404761904761905,1.828571428571429,1.0285714285714287,0.7833333333333333,0.24523809523809523,0.511904761904762,1.4333333333333333,0.3285423967566825,0.1795351473922903,0.329554625268911,0.07857142857142857,0.07857142857142856,0.07857142857142858,-0.05238095238095238,10.657142857142857
Austin Peay 2016,17.775252525252526,68.16414141414141,12.452020202020202,6.676767676767676,0.8964646464646464,2.0883838383838382,1.191919191919192,1.2171717171717173,0.25252525252525254,0.6035353535353537,1.5303030303030303,0.32204268497952243,0.1591710758377425,0.30486327645418554,0.0883838383838384,0.08838383838383838,0.08838383838383836,-0.7222222222222222,0.027777777777777787
Baylor 2016,14.421912624699003,73.48194014447884,12.956484348125214,4.509803921568628,0.8610251117991057,1.3639490884072927,0.9819401444788441,0.9093567251461988,0.26883384932920534,0.5533195734434124,1.6173030615755075,0.32198983435438544,0.1495302799482366,0.2816488636922074,0.06870827587907968,0.06028905385107196,0.06818683433897595,-0.17440660474716202,7.7370141038871685
Buffalo 2016,20.06164502164502,84.31740259740259,14.983116883116883,7.263030303030303,1.0071861471861472,2.3384415584415583,1.2335064935064934,1.1886580086580087,0.3505627705627705,0.7121212121212122,2.0292640692640687,0.40380227444513156,0.19485545935545937,0.3930499320304515,0.08873918700456238,0.10584222367911758,0.09262494294690501,-0.25194805194805203,3.5945454545454547
Butler 2016,12.124100246159069,54.011668152109316,10.158072319837023,4.0297764055117,0.5671137141725378,1.251930721783663,0.798876722406134,0.720528817587641,0.16381567778626602,0.2832498656028068,1.2620402201284555,0.2511000737059911,0.1206737317542056,0.24161279972145985,0.05759397728332421,0.0646445708919435,0.06126427472614337,-0.5469265483971366,7.699681690858161
Cal St. Bakersfield 2016,19.442424242424245,80.22121212121212,15.206060606060607,7.054545454545455,1.0787878787878789,2.3515151515151516,1.518181818181818,1.1363636363636362,0.4878787878787879,0.7787878787878788,2.0545454545454542,0.3812574160575849,0.11850423986787621,0.381619659801478,0.09696969696969696,0.09696969696969696,0.09696969696969697,0.2606060606060606,9.545454545454545
California 2016,17.723059471722575,75.10014584346135,12.632069356668291,6.050072921730675,0.8774104683195593,2.2971155404310486,1.019931939718036,0.9936801166747692,0.43445146653702804,0.36039539782855284,1.8454869551126236,0.3390086232210685,0.15845274749018065,0.2883016129066202,0.08015834947860337,0.09527933773108682,0.08257892623786733,-0.39766650461837627,7.409009884945714
Chattanooga 2016,15.844949494949498,69.03535353535354,12.901010101010103,5.7668831168831165,0.6691919191919191,1.8349206349206348,1.1943001443001442,0.9837662337662337,0.25115440115440113,0.6386002886002887,1.3274891774891773,0.29949082663368376,0.20219120706133697,0.3473480007246241,0.07248177876380474,0.08841412024401304,0.0732949673842709,-0.1880230880230881,9.205627705627707
Cincinnati 2016,15.933422459893048,71.09474153297683,13.10614973262032,5.131283422459893,0.9002673796791445,1.8949197860962563,1.0489304812834224,0.8860071301247772,0.5406417112299465,0.5860071301247771,1.2478609625668446,0.35812526525761823,0.1330189146365617,0.33479851847498904,0.0807140330168544,0.07350292756533382,0.07612864020056902,0.4812834224598929,8.120588235294118
